EffectorDrugLabel,AffectedDrugLabel,effect_impact
ipratropium,zinc,therapeutic-efficacy_decrease
umeclidinium,zinc,therapeutic-efficacy_decrease
mometasone,chloroquine,metabolism_decrease
fluticasone,chloroquine,metabolism_decrease
dexamethasone,chloroquine,metabolism_increase
budesonide,chloroquine,metabolism_increase
salmeterol,chloroquine,metabolism_decrease
zafirlukast,chloroquine,metabolism_decrease
hydroxychloroquine,umeclidinium,metabolism_decrease
chloroquine,umeclidinium,metabolism_decrease
chloroquine,prednisone,excretion-rate_decrease
chloroquine,prednisone,serum-level_higher
hydroxychloroquine,theophylline,metabolism_decrease
chloroquine,theophylline,metabolism_decrease
hydroxychloroquine,formoterol,metabolism_decrease
chloroquine,formoterol,metabolism_decrease
chloroquine,dyphylline,excretion-rate_decrease
chloroquine,dyphylline,serum-level_higher
chloroquine,ciclesonide,metabolism_decrease
